Sector,country_name,ISO_CODE,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Power Industry,Bulgaria,BGR,21.20958,21.20958,22.6566,22.52947,24.074,26.20724,26.37891,30.37399,35.63496,36.69554,36.76949,35.42625,37.04901,35.65429,34.61297,37.26908,40.3697,41.48042,41.160554,40.740094,47.0478162,37.15292921,36.69106943,36.92121083,33.80093937,34.17856121,34.52099249,28.90053047,28.2582027,24.24860831,24.01363354,27.3934728,24.7576543,27.45604576,26.81567607,26.97542205,27.15477408,30.67010837,30.91641839,28.22581509,30.10958385,34.65998671,30.00891408,26.07433811,27.62219464,28.29131416,25.9889063,28.25237304
Power Industry,Burkina Faso,BFA,0.001262469,0.001262469,0.001513023,0.001513023,0.001429505,0.001932121,0.0230808,0.02453814,0.02772537,0.02997073,0.04110271,0.04811756,0.04822108,0.0523181,0.05591698,0.05562595,0.07262512,0.07255152,0.06790876,0.05077349,0.04692801,0.06157852,0.05192957,0.05521848,0.05282536,0.05983061,0.07213358,0.1154895,0.1087578,0.1128987,0.1495642,0.1775975,0.1773444,0.1913112,0.2060447,0.20765,0.222599,0.2476977,0.3704865,0.3618912,0.3588607,0.426021,0.4375948,0.5997454,0.6797469,0.6900957,0.70812394,0.754153638
Power Industry,Burundi,BDI,0.000210412,0.000210412,0.000252172,0.000252172,0.000238252,0.000322021,0.003846796,0.004089693,0.004620894,0.004995127,0.006850444,0.01603919,0.008036848,0.01743939,0.01863898,0.01854201,0.02075001,0.02072899,0.03880515,0.02901349,0.02681606,0.03848665,0.03245596,0.03067691,0.02934751,0.03323921,0.03606688,0.03609048,0.04350319,0.04515948,0.04673892,0.0665991,0.06650417,0.06752165,0.07272156,0.06107356,0.06547022,0.06518346,0.03969499,0.04523647,0.04485775,0.0532526,0.05469929,0.04283889,0.05171937,0.04909704,0.050379664,0.053654459
Power Industry,Cambodia,KHM,0.01518991,0.01518991,0.03117191,0.0466584,0.05516692,0.05620202,0.0642692,0.100191,0.0730293,0.0804649,0.0829213,0.0847203,0.1082879,0.1100193,0.1190314,0.1364856,0.1386092,0.1469314,0.1449283,0.1280328,0.1264377,0.1439353,0.1524721,0.1612244,0.06814256,0.16143,0.2024427,0.2613212,0.3120571,0.342198,0.3778018,0.4259193,0.5869568,0.606951,0.6626824,0.7728519,0.9463535,1.2103795,1.2233226,1.0324645,0.8079979,0.8434421,0.7668754,0.6751793,1.21463726,2.49985439,2.892352121,3.078341642
Power Industry,Cameroon,CMR,0.0320853,0.0320853,0.038532,0.0417183,0.0449046,0.0449046,0.0513513,0.0577239,0.0641706,0.0641706,0.0738036,0.0834366,0.0866229,0.0738036,0.0577239,0.0449046,0.0417183,0.048165,0.0449046,0.038532,0.0352716,0.0352716,0.0320853,0.0256386,0.028899,0.028899,0.028899,0.0320853,0.048165,0.038532,0.0352716,0.0577239,0.0898092,0.115522,0.1151644,0.163707,0.4266586,0.8581046,0.9213563,1.1456126,1.2337649,0.9542206,0.8705546,0.8747863,1.064074,1.1573933,1.201731724,1.209307338
Power Industry,Canada,CAN,44.9965248,49.3224418,50.12820894,51.87315376,50.52731254,53.9735281,58.66462954,65.53612849,64.43630261,68.90859285,74.74730985,72.90957978,79.28515378,85.32043561,91.92032059,87.80660435,80.30632294,90.01770018,99.22679253,108.6002506,97.15004388,98.61333364,105.1647268,95.70896399,98.27036558,102.0050744,100.7459743,111.9492584,125.0762096,123.7681451,135.444042,137.8215927,131.9037042,137.7190604,129.8855369,125.599973,123.0875603,133.0521009,121.8966868,106.829092,110.3230227,107.3643486,101.270124,100.8965287,101.4947984,102.9294575,105.7541741,108.6864105
Power Industry,Cape Verde,CPV,0.00105206,0.00105206,0.001260855,0.001260855,0.001191256,0.001610106,0.01923401,0.02044839,0.02310443,0.02497564,0.03425227,0.04009795,0.01607367,0.01743939,0.01863898,0.01854201,0.008312335,0.009196747,0.009701266,0.007253362,0.006704013,0.01539463,0.01298239,0.01227078,0.01173898,0.0132957,0.01442674,0.01443619,0.01450106,0.01505316,0.02804331,0.02219972,0.02216808,0.02250721,0.04848115,0.0488587,0.0523761,0.06518346,0.06615836,0.07539407,0.07476269,0.0887543,0.09116547,0.15707601,0.17623916,0.20448654,0.2098286,0.223467945
Power Industry,Cayman Islands,CYM,0.008970346,0.008970346,0.008828566,0.009950653,0.00886264,0.0110295,0.0118186,0.01221986,0.01455862,0.01265997,0.01265806,0.02489025,0.02393948,0.02336709,0.025909093,0.029782822,0.0297,0.031125586,0.06702825,0.056943822,0.05978427,0.068500153,0.072701326,0.060478616,0.060203975,0.08403003,0.084427262,0.076480158,0.078518337,0.069372475,0.072709631,0.073661106,0.075239095,0.077878122,0.09803396,0.089390803,0.10124124,0.11946175,0.15901127,0.13042684,0.13177055,0.14946013,0.248068714,0.24841812,0.23363551,0.24457718,0.24457718,0.24457718
Power Industry,Central African Republic,CAF,0.000420824,0.000420824,0.000504342,0.000504342,0.000476503,0.000644043,0.00769361,0.00817937,0.00924179,0.00999026,0.0137009,0.02405879,0.02411055,0.02615907,0.02795847,0.02781299,0.03112506,0.03109351,0.02910382,0.02176008,0.02011204,0.03078919,0.02596475,0.02454159,0.02347792,0.02659135,0.02885351,0.02887236,0.02900204,0.03010629,0.04673892,0.05549928,0.05542027,0.05626798,0.06060137,0.0488587,0.06547022,0.06518346,0.06615836,0.07539407,0.07476269,0.0887543,0.09116547,0.08567779,0.09090502,0.10000828,0.102620922,0.10929152
Power Industry,Chad,TCD,0.000841648,0.000841648,0.001008682,0.001008682,0.000953004,0.001288086,0.0153872,0.01635875,0.01848358,0.01998055,0.0274018,0.03207847,0.03214738,0.03487877,0.01863898,0.01854201,0.04150008,0.03109351,0.01940255,0.01450673,0.03352007,0.03848665,0.03245596,0.01227078,0.01173898,0.0132957,0.02164012,0.02165426,0.02175154,0.02257975,0.02804331,0.03329955,0.03325211,0.03376081,0.03636077,0.03664415,0.03928209,0.05214684,0.0529267,0.06031532,0.05981021,0.0710035,0.07293229,0.07139811,0.07179242,0.0741396,0.076076442,0.081021587
