Release: EDGARv4.3.2_FT2016 of September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Timeseries 1970-2016 of CO2 emissions by country and sector (Transport, Other industrial combustion, Buildings, Non-combustion, Power Industry) in kton CO2 / year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reference: European Commission, Joint Research Centre (EC-JRC)/Netherlands Environmental Assessment Agency (PBL). Emissions Database for Global Atmospheric Research (EDGAR), release EDGARv4.3.2_FT2016  (1970 - 2016), http://edgar.jrc.ec.europa.eu/overview.php?v=booklet2017&dst=CO2emi, 2017.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"How to cite: Janssens-Maenhout, G., Crippa, M., Guizzardi, D., Muntean, M., Schaaf, E., Olivier, J.G.J., Peters, J.A.H.W., Schure, K.M., Fossil CO2 and GHG emissions of all world countries, EUR 28766 EN,Publications Office of the European Union, Luxembourg, 2017, ISBN 978-92-79-73207-2, doi:10.2760/709792, JRC107877.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISO_CODE,ISO_NAME,sector,substance,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AIA,Anguilla,Transport,CO2,1.61843,1.61843,1.69454,1.55594,1.77709,1.96402,1.74493,1.93381,2.18491,2.35756,3.73518,5.95779,6.39312,5.47561,5.18603,3.0081,2.35576,4.58622,4.67365,4.98634,4.93533,6.38038,6.72191,8.16164,11.2696,14.9651,14.7217,12.1511,10.3386,9.74414,13.2959,13.7282,8.76347,11.1898,10.4784,11.0461,10.9246,9.71364,12.7136,17.8782,22.0887,23.6173,23.6173,25.98034,26.37418,27.43459,27.85033
AIA,Anguilla,Other industrial combustion,CO2,0.108991,0.108991,0.121453,0.102639,0.115155,0.127991,0.139306,0.142281,0.157591,0.177405,0.19635,0.217632,0.169166,0.189186,0.199631,0.248826,0.339269,1.05945,0.751683,0.774589,0.755591,0.7641,0.715906,1.31917,1.37845,0.940702,0.964341,0.913753,1.5084,1.48217,1.56089,1.42386,1.34714,1.33608,1.55666,1.17101,1.13333,1.18471,1.14424,1.13077,1.10345,1.10345,1.11861,1.230533,1.249187,1.299412,1.319103
AIA,Anguilla,Power Industry,CO2,0.42995,0.42995,0.435892,0.438441,0.446632,0.479858,0.521366,0.449381,0.542577,0.661639,0.455849,0.451966,0.44526,0.41685,0.409834,0.403232,0.444454,0.464123,0.359469,0.374066,0.402214,0.420273,0.442831,0.44378,0.455664,0.461063,0.497934,0.459599,0.573763,0.490769,0.648088,0.73057,0.721043,0.750788,0.752826,0.744826,0.736681,0.760325,0.776916,0.778187,0.789681,0.910456,0.910456,1.001552,1.016735,1.057614,1.073641
AIA,Anguilla,Non-combustion,CO2,0,0,0,0,0,0,0.017567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80315,0.66262,0.680661,0,0.677649,0.618738,0.357101,0,0.360637,0,0,0,0,0
AIA,Anguilla,Buildings,CO2,0.010636,0.010666,0.011545,0.011586,0.011093,0.011797,0.010957,0.011225,0.01617,0.016067,0.02492,0.01209,0.010928,0.006894,0.005314,0.010307,0.014801,0.015783,0.011995,0.013154,0.020858,0.014228,0.021847,0.027128,0.0268,0.028093,0.028646,0.038911,0.027463,0.033307,0.025996,0.02633,0.025515,0.024656,0.020146,0.017981,0.017016,0.017598,0.014188,0.015906,0.021997,0.01602,0.01602,0.017623,0.01789,0.01861,0.018892
ATG,Antigua and Barbuda,Power Industry,CO2,51.4055,51.4055,50.1639,60.7745,62.7214,65.4725,78.9054,82.4401,93.2735,83.3273,87.9763,70.3809,92.5298,59.918,70.4756,68.0933,72.5067,75.7155,102.323,86.5638,91.2664,99.6431,106.403,91.8788,102.6,114.813,118.831,119.507,127.995,111.43,144.387,156.134,155.15,164.462,173.086,172.958,170.855,181.311,188.741,189.05,191.842,221.183,221.183,243.3136,247.002,256.9331,260.8266
ATG,Antigua and Barbuda,Buildings,CO2,88.5346,96.4638,138.81,147.071,108.699,146.647,95.0406,113.815,90.8191,93.2757,76.2222,99.4465,122.101,76.1805,95.0664,77.1216,91.2355,97.28,102.575,112.688,112.838,105.626,97.5177,81.3537,84.1939,90.1295,89.3887,76.4661,31.2839,42.5667,31.1997,32.5509,30.5433,34.754,30.798,27.7976,27.5608,29.3033,24.5233,27.4929,38.0199,27.6901,27.6901,30.46065,30.92241,32.16568,32.65311
ATG,Antigua and Barbuda,Transport,CO2,6.08049,6.10923,6.21586,7.02206,8.0086,11.7909,12.5168,13.1442,13.4815,11.4234,21.36741,21.69651,22.64288,22.21957,24.09915,22.77943,20.86302,26.52652,27.66418,30.81127,31.17514,32.75497,33.54057,37.3748,40.33944,42.53125,43.36969,49.52289,72.82047,82.92554,82.67965,85.6717,80.44265,80.95577,86.8318,89.14911,90.50809,95.61036,94.73575,100.3345,108.742,108.9061,110.1651,121.1878,123.0249,127.9713,129.9105
ATG,Antigua and Barbuda,Other industrial combustion,CO2,1.03064,1.03064,1.1573,0.966613,1.09324,1.22649,1.33803,1.3663,1.50399,1.72496,1.93889,2.13777,1.67763,1.86595,1.95856,2.41262,3.31999,10.2281,9.18541,8.94937,7.92476,7.85168,7.21201,19.8872,20.5839,9.88773,9.96583,8.95489,18.349,18.4381,18.9972,17.7973,17.585,15.6144,18.3714,13.9161,13.4217,13.6748,13.0436,12.5931,12.2888,12.2888,12.4577,13.70416,13.91191,14.47125,14.69055
ATG,Antigua and Barbuda,Non-combustion,CO2,0.514528,0.512902,0.506905,0.498598,0.491253,0.486926,0.487228,0.486758,0.494096,0.498384,0.500647,0.502005,0.506194,0.507011,0.515997,0.513831,0.509909,0.512861,0.513493,0.5127,0.51414,0.521939,0.532068,0.542129,0.551828,0.564105,0.58159,0.592431,0.597915,0.609431,0.632732,0.641401,0.64988,0.723605,0.723107,0.733532,0.688631,0.757642,0.761653,0.747688,0.731874,0.770751,0.676881,0.678329,0.679777,0.681225,0.682672
ARG,Argentina,Transport,CO2,24125.19,24125.09,25790.72,26270.87,26588.5,25324.56,25273.87,27247.73,27930.8,30278.6,31232.69,31329.21,31461.91,31586.09,30040.49,26281.8,28686.04,29332.23,27677.27,27692.18,28443.5,29968.76,32124.99,35738.71,37605.01,38659.6,39757.74,40897.11,42835.64,41493.97,40598.91,36842.45,34303.93,35204.11,36585.7,38246.15,40240.45,40937.1,43693.65,39269.68,45402.98,47919.25,47286.95,46068.98,49027.28,49956.87,50040.89
ARG,Argentina,Other industrial combustion,CO2,21360.8,21360.8,20271.3,20988.5,21836.4,20703,22178.8,20791.7,22602.1,23233.9,23142.8,22490.1,23029,22307.6,23285.3,23387.9,27900.9,30362.3,28819.2,29442.1,28667.3,30434.4,30912.2,28029.9,32251.5,32334.9,33691.8,40141.2,40094.3,39329.4,38604.9,39036.8,37452.5,40090.6,47114.6,45884.9,48546.8,49175.7,49659.6,47772.8,47908.2,47439.7,45572.7,44398.88,47249.94,48145.83,48226.8
